ID, INTERES,MONTO,VENCIMIENTO_CUOTA,NUM_CUOTAS,VALOR_CUOTA,TIPO,CLIENTE,OFICINA
1,0.0063232620047654455,1142453.0876566889,TO_DATE('21/10/2015','dd/mm/yyyy'),37,30877.110477207807,4,1653,1
2,0.010687880857396297,8262290.8085876,TO_DATE('21/10/2015','dd/mm/yyyy'),25,330491.632343504,2,1653,1
3,0.010197296005169571,25070708.28549734,TO_DATE('21/10/2015','dd/mm/yyyy'),26,964258.010980667,4,1653,1
4,0.00889097482476603,7681229.69218714,TO_DATE('21/10/2015','dd/mm/yyyy'),42,182886.42124255095,5,1655,1
5,0.009517551369013874,19254142.444317535,TO_DATE('21/10/2015','dd/mm/yyyy'),7,2750591.777759648,5,1656,1
6,0.009168006683305455,46220245.487453826,TO_DATE('21/10/2015','dd/mm/yyyy'),7,6602892.212493404,4,1656,1
7,0.010181176382028678,8350140.093807738,TO_DATE('21/10/2015','dd/mm/yyyy'),48,173961.2519543279,3,1657,1
8,0.011563126050392303,620854.5108616545,TO_DATE('21/10/2015','dd/mm/yyyy'),27,22994.61151339461,4,1657,1
9,0.011699379666295376,505957.9227851605,TO_DATE('21/10/2015','dd/mm/yyyy'),41,12340.437141101474,5,1657,1
10,0.013898931281781437,295452.2036918595,TO_DATE('21/10/2015','dd/mm/yyyy'),11,26859.2912447145,5,1659,1
11,0.010473767464360566,27723508.55331467,TO_DATE('21/10/2015','dd/mm/yyyy'),30,924116.9517771557,1,1659,1
12,0.013734864968063528,5116799.550245492,TO_DATE('21/10/2015','dd/mm/yyyy'),8,639599.9437806865,4,1660,1
13,0.013607868567563854,91860.89607949904,TO_DATE('21/10/2015','dd/mm/yyyy'),48,1913.7686683228967,2,1660,1
14,0.004014457264644564,8689103.216687506,TO_DATE('21/10/2015','dd/mm/yyyy'),20,434455.1608343753,5,1660,1
15,0.011975692007445995,6469828.070566697,TO_DATE('21/10/2015','dd/mm/yyyy'),36,179717.44640463046,1,1661,1
16,0.011553382400404344,3132911.136222293,TO_DATE('21/10/2015','dd/mm/yyyy'),18,174050.61867901628,2,1662,1
17,0.008299586243094717,639218.101275468,TO_DATE('21/10/2015','dd/mm/yyyy'),39,16390.207725012002,1,1663,1
18,0.013535003766116955,12939158.926115798,TO_DATE('21/10/2015','dd/mm/yyyy'),25,517566.3570446319,5,1663,1
19,0.005018372013157253,19967106.620396603,TO_DATE('21/10/2015','dd/mm/yyyy'),17,1174535.6835527413,5,1664,1
20,0.00917423359810117,26691415.23596753,TO_DATE('21/10/2015','dd/mm/yyyy'),18,1482856.4019981963,3,1664,1
21,0.012435638698116883,20062347.729104836,TO_DATE('21/10/2015','dd/mm/yyyy'),19,1055913.0383739388,4,1664,1
22,0.010970840261297724,3033721.186156911,TO_DATE('21/10/2015','dd/mm/yyyy'),30,101124.0395385637,2,1666,1
23,0.009997169487355368,11828238.33874581,TO_DATE('21/10/2015','dd/mm/yyyy'),1,11828238.33874581,3,1666,1
24,0.013129668495834195,116546.99189470708,TO_DATE('21/10/2015','dd/mm/yyyy'),12,9712.249324558923,2,1668,1
25,0.0053454640594147495,1515970.0491802,TO_DATE('21/10/2015','dd/mm/yyyy'),39,38871.026902056416,2,1669,1
26,0.014043303138046371,5648259.684678349,TO_DATE('21/10/2015','dd/mm/yyyy'),3,1882753.2282261162,3,1669,1
27,0.0068822459519217085,308493.4227585184,TO_DATE('21/10/2015','dd/mm/yyyy'),19,16236.495934658864,2,1671,1
28,0.012400106007111474,853947.1397849182,TO_DATE('21/10/2015','dd/mm/yyyy'),40,21348.678494622953,2,1672,1
29,0.013400080934217162,1067396.7331577614,TO_DATE('21/10/2015','dd/mm/yyyy'),6,177899.45552629358,1,1672,1
30,0.0073975919992771135,21597631.951877777,TO_DATE('21/10/2015','dd/mm/yyyy'),1,21597631.951877777,2,1676,2
31,0.012722441513459602,15612378.280376107,TO_DATE('21/10/2015','dd/mm/yyyy'),17,918375.1929633004,5,1677,2
32,0.009289318358475357,6559602.000602197,TO_DATE('21/10/2015','dd/mm/yyyy'),20,327980.10003010987,5,1677,2
33,0.003449970187103798,201251.44129329536,TO_DATE('21/10/2015','dd/mm/yyyy'),41,4908.571738860863,1,1677,2
34,0.01212280652148947,7739114.421773571,TO_DATE('21/10/2015','dd/mm/yyyy'),34,227621.01240510502,1,1678,2
35,0.006229388881021875,13393504.480680142,TO_DATE('21/10/2015','dd/mm/yyyy'),39,343423.1918123113,4,1679,2
36,0.011942621608414526,9073627.367851049,TO_DATE('21/10/2015','dd/mm/yyyy'),2,4536813.683925524,3,1679,2
37,0.006845088973788611,6523768.763005266,TO_DATE('21/10/2015','dd/mm/yyyy'),34,191875.55185309605,1,1680,2
38,0.008997533022347877,717418.8363870736,TO_DATE('21/10/2015','dd/mm/yyyy'),32,22419.33863709605,3,1680,2
39,0.013757362722673977,8541703.445204427,TO_DATE('21/10/2015','dd/mm/yyyy'),17,502453.14383555454,3,1680,2
40,0.007158492437173751,4421531.16909815,TO_DATE('21/10/2015','dd/mm/yyyy'),33,133985.79300297424,5,1681,2
41,0.012640647495988056,502339.9758066537,TO_DATE('21/10/2015','dd/mm/yyyy'),27,18605.184289135323,3,1681,2
42,0.012433774914897767,4004925.7063945467,TO_DATE('21/10/2015','dd/mm/yyyy'),30,133497.52354648488,1,1682,2
43,0.013833494477850657,13511737.920675026,TO_DATE('21/10/2015','dd/mm/yyyy'),23,587466.8661163055,4,1683,2
